cpu,motherboard,gpu,ram,psu,price,type,rating
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Professional,54.94139624574408
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Office,63.8117046812699
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Professional,54.94139624574408
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Professional,54.94139624574408
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Office,63.8117046812699
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Gaming,31.71464441029659
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Office,63.8117046812699
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,All-in-One,64.90102142276056
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Office,63.8117046812699
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,Multimedia,86.69177538742755
Intel Core i7-9700F @ 3.00GHz,Supermicro X11SCL-IF,Radeon RX 570X,G.Skill Trident Z5 RGB 32 GB,EVGA SuperNOVA 650 P2,1148.85,All-in-One,64.90102142276056
